"","Name","TotalM","TotalF","Dif"
"1197","Jahari",1030,108,0.810193321616872
"1198","Rylee",4181,40013,0.810788794859031
"1199","Jelani",3641,380,0.810992290475006
"1200","Mel",3603,376,0.811007790902237
"1201","Sequoia",317,3038,0.811028315946349
"1202","Deryl",1825,190,0.811414392059553
"1203","Adyn",1097,114,0.811725846407927
"1204","Mattison",203,1954,0.811775614279091
"1205","Dany",1069,111,0.811864406779661
"1206","Ennis",3082,320,0.811875367430923
"1207","Augusta",1667,16082,0.812158431460927
"1208","Marquel",2394,248,0.81226343679031
"1209","Lou",3473,33569,0.812483127260947
"1210","Destry",1404,145,0.812782440284054
"1211","Delaine",242,2347,0.813055233680958
"1212","Cori",1125,10913,0.813091875726865
"1213","Camry",120,1166,0.813374805598756
"1214","Ira",52609,5414,0.813384347586302
"1215","Saylor",285,2777,0.813847158719791
"1216","Maris",215,2098,0.814094249891915
"1217","Tristian",6032,616,0.81468110709988
"1218","Kolby",9687,989,0.814724615961034
"1219","Francis",283256,28891,0.814888498047394
"1220","Norvell",1158,117,0.816470588235294
"1221","Daylen",2415,244,0.816472358029334
"1222","Cameron",252834,25501,0.816760378680367
"1223","Journey",870,8647,0.817169276032363
"1224","Ludie",270,2687,0.817382482245519
"1225","Hagan",1087,109,0.817725752508361
"1226","Nyree",154,1542,0.818396226415094
"1227","Asiah",149,1492,0.818403412553321
"1228","Lavone",117,1173,0.818604651162791
"1229","Landyn",7218,719,0.818823232959557
"1230","Tracey",8590,86325,0.818995943739135
"1231","Aramis",1721,171,0.81923890063425
"1232","Cletis",1601,159,0.819318181818182
"1233","Kalei",161,1623,0.819506726457399
"1234","Torie",268,2709,0.819952972791401
"1235","Ferris",2374,234,0.820552147239264
"1236","Monroe",15544,1527,0.821100111299865
"1237","Jordyn",4423,45103,0.82138674635545
"1238","Hadley",1776,18143,0.821677795070034
"1239","Bristol",426,4358,0.82190635451505
"1240","Camren",5415,529,0.822005383580081
"1241","Eman",157,1613,0.822598870056497
"1242","Keegan",29953,2905,0.823178525777588
"1243","Kacee",194,2003,0.823395539371871
"1244","Flynn",2828,273,0.82392776523702
"1245","Carlie",1292,13391,0.824014166042362
"1246","Mikel",10209,982,0.824501831829148
"1247","Levon",4508,433,0.824731835660797
"1248","Laquan",2260,217,0.824788050060557
"1249","Jaimie",899,9402,0.825453839433065
"1250","Aspen",1079,11289,0.825517464424321
"1251","Miller",6360,607,0.82574996411655
"1252","Merrick",3439,327,0.826340945300053
"1253","Rikki",620,6524,0.826427771556551
"1254","Elba",313,3295,0.82649667405765
"1255","Early",3935,373,0.826833797585887
"1256","Tayden",1583,150,0.826889786497403
"1257","Adler",1386,131,0.827290705339486
"1258","Aydan",4492,424,0.827502034174125
"1259","Sherril",153,1622,0.827605633802817
"1260","Makya",90,956,0.82791586998088
"1261","Stacey",13832,146935,0.827924885082137
"1262","Lanier",988,93,0.827937095282146
"1263","Ky",1180,111,0.828040278853602
"1264","Von",4826,453,0.828376586474711
"1265","Shavon",362,3862,0.828598484848485
"1266","Jacobi",2969,278,0.828765013858947
"1267","Cassey",155,1656,0.828823854224185
"1268","Macon",1744,163,0.829050865233351
"1269","Ely",3763,351,0.829363150218765
"1270","Koda",1544,144,0.829383886255924
"1271","Pernell",2957,275,0.829826732673267
"1272","Fate",1153,107,0.83015873015873
"1273","Jaelyn",1029,11097,0.830282038594755
"1274","Jeffrie",929,86,0.830541871921182
"1275","Hilary",2192,23821,0.831468880944143
"1276","Brandyn",4503,414,0.831604636973764
"1277","Arlen",6493,595,0.832110609480813
"1278","Alexys",363,3986,0.833065072430444
"1279","Kemper",1252,114,0.833089311859444
"1280","Harlee",367,4031,0.833105957253297
"1281","Elie",2634,238,0.834261838440111
"1282","Linnie",711,7885,0.834574220567706
"1283","Kenya",2089,23169,0.834587061525061
"1284","Adriel",7356,663,0.834642723531613
"1285","Kairi",240,2673,0.835221421215242
"1286","Derry",1528,137,0.835435435435435
"1287","Shellie",892,9964,0.835666912306559
"1288","Taj",4033,361,0.835685025034137
"1289","Boston",6058,542,0.835757575757576
"1290","Dietrich",1669,149,0.836083608360836
"1291","Drew",71692,6379,0.836584647308219
"1292","Killian",4738,419,0.837502423889859
"1293","Uriah",7182,632,0.838239058100845
"1294","Kanyon",921,81,0.838323353293413
"1295","Justus",7221,635,0.838340122199593
"1296","Nate",3446,303,0.838356895172046
"1297","Iver",1047,92,0.838454784899034
"1298","Meryl",431,4909,0.838576779026217
"1299","Kory",13768,1206,0.838920796046481
"1300","Aman",1843,161,0.839321357285429
"1301","Christin",967,11072,0.83935542819171
"1302","Kooper",1834,160,0.839518555667001
"1303","Nova",772,8855,0.839617741767944
"1304","Verner",1962,171,0.839662447257384
"1305","Courtney",22314,256277,0.839808177579319
"1306","Darnell",27417,2382,0.840128863384677
"1307","Marcelle",459,5284,0.840153230019154
"1308","Sullivan",6214,538,0.84063981042654
"1309","Jersey",209,2425,0.841305998481397
"1310","Rami",2461,212,0.841376730265619
"1311","Darion",6530,561,0.841771259342829
"1312","Llewellyn",3301,283,0.842075892857143
"1313","Michell",588,6896,0.842864778193479
"1314","Ferrell",1905,162,0.843251088534107
"1315","Raylan",2156,183,0.843522873022659
"1316","Austen",7212,611,0.843793940943372
"1317","Kellen",13415,1136,0.843859528554739
"1318","Glynn",4928,417,0.843966323666979
"1319","Kye",2707,229,0.844005449591281
"1320","Jonell",207,2447,0.844009042954032
"1321","Terrion",1319,111,0.844755244755245
"1322","Taelor",173,2057,0.844843049327354
"1323","Ivy",3278,38982,0.844865120681495
"1324","Cassady",87,1036,0.845057880676759
"1325","Gussie",1098,13083,0.845144912206473
"1326","Verl",2516,211,0.845251191785845
"1327","August",36889,3092,0.845326530101798
"1328","Roshan",1409,118,0.845448592010478
"1329","Kortney",436,5220,0.845827439886846
"1330","Shanti",140,1677,0.84589983489268
"1331","Canaan",3008,251,0.845965019944768
"1332","Roan",1382,115,0.846359385437542
"1333","Takoda",1203,100,0.846508058326938
"1334","Deshawn",14275,1183,0.846940095743304
"1335","Sumner",2299,190,0.847328244274809
"1336","Egypt",164,1986,0.847441860465116
"1337","Antonia",2617,31747,0.847689442439763
"1338","Ronnell",2220,183,0.84769038701623
"1339","Hollie",1452,17661,0.848061528802386
"1340","Bunny",149,1815,0.84826883910387
"1341","Kadence",709,8661,0.848665955176094
"1342","Kashawn",954,78,0.848837209302326
"1343","Jalynn",346,4236,0.848974247053688
"1344","Irish",112,1374,0.849259757738896
"1345","Danniel",2283,186,0.849331713244228
"1346","Aston",1584,129,0.84938704028021
"1347","Jamee",218,2685,0.849810540819842
"1348","Cordie",167,2064,0.850291349170776
"1349","Brentley",2004,162,0.850415512465374
"1350","Gayle",4949,61290,0.850571415631275
"1351","Mecca",148,1833,0.850580514891469
"1352","Verdie",211,2614,0.850619469026549
"1353","Ryann",645,7995,0.850694444444444
"1354","Skyy",107,1328,0.850871080139373
"1355","Socorro",549,6822,0.851037851037851
"1356","Emile",7887,632,0.851625777673436
"1357","Romell",1225,98,0.851851851851852
"1358","Cass",1604,128,0.852193995381062
"1359","Jakari",2199,175,0.85256950294861
"1360","Louie",27295,2172,0.85258085315777
"1361","Shonte",80,1008,0.852941176470588
"1362","Nile",2764,219,0.85316795172645
"1363","Claris",77,973,0.853333333333333
"1364","Alexius",118,1492,0.853416149068323
"1365","Dale",276528,21850,0.853541480940284
"1366","Kaidence",169,2140,0.853616284105673
"1367","Gray",3502,276,0.853890947591318
"1368","Kiah",215,2731,0.854039375424304
"1369","Dream",81,1029,0.854054054054054
"1370","Bari",140,1779,0.854090672225117
"1371","Mccall",74,942,0.854330708661417
"1372","Shannen",150,1910,0.854368932038835
"1373","Eldred",3745,294,0.854419410745234
"1374","Gennie",199,2541,0.854744525547445
"1375","Venice",198,2536,0.855157278712509
"1376","Raven",2859,36635,0.855218514204689
"1377","Verlie",178,2281,0.855225701504677
"1378","Ellis",38461,2988,0.855822818403339
"1379","Kellyn",136,1751,0.855855855855856
"1380","Tiny",161,2087,0.856761565836299
"1381","Matilde",218,2830,0.856955380577428
"1382","Gay",1382,17984,0.857275637715584
"1383","Royce",25503,1958,0.857397764101817
"1384","Elliot",33202,2547,0.857506503678425
"1385","Verlin",3794,291,0.857527539779682
"1386","Korin",85,1109,0.857621440536013
"1387","Logan",282172,21625,0.857635197187596
"1388","Nico",8379,641,0.857871396895787
"1389","Camden",32169,2448,0.858566600225323
"1390","Ines",403,5302,0.858720420683611
"1391","Alois",2458,186,0.859304084720121
"1392","Blaise",6288,475,0.85952979446991
"1393","Eddie",208193,15680,0.85992057997168
"1394","Denver",14020,1055,0.860033167495854
"1395","Daryle",2632,198,0.860070671378092
"1396","Blessing",141,1878,0.860326894502229
"1397","Colby",48601,3644,0.860503397454302
"1398","Marlin",20286,1517,0.860844837866349
"1399","Mikael",3826,286,0.860894941634241
"1400","Jun",1126,84,0.861157024793388
"1401","Kimball",1882,140,0.861523244312562
"1402","Donnell",13802,1026,0.861613164283787
"1403","Burdette",1713,127,0.861956521739131
"1404","Jori",137,1856,0.862518815855494
"1405","Shawnte",102,1383,0.862626262626263
"1406","Chevelle",164,2235,0.863276365152147
"1407","Avary",85,1160,0.863453815261044
"1408","Shaquille",5283,387,0.863492063492064
"1409","Lonnie",93383,6821,0.86385773023033
"1410","Blaze",5159,376,0.864137308039747
"1411","Tremaine",3955,288,0.864246995050672
"1412","Deshon",2281,166,0.864323661626481
"1413","Cecil",105744,7677,0.864628243446981
"1414","Kamden",5874,426,0.864761904761905
"1415","Asa",14582,1053,0.865302206587784
"1416","Jade",5254,72763,0.865311406488329
"1417","Bryer",1039,75,0.865350089766607
"1418","Jericho",3376,242,0.866224433388612
"1419","Rasheen",1326,95,0.866291344123856
"1420","Fran",354,4964,0.866867243324558
"1421","Daryl",61894,4400,0.867257972063837
"1422","Shon",4989,354,0.867490174059517
"1423","Sterling",28902,2049,0.86759716971988
"1424","Allie",3116,44268,0.868478811413135
"1425","Adiel",1166,82,0.868589743589744
"1426","Rhys",6358,447,0.868626010286554
"1427","Jayce",17161,1206,0.868677519464257
"1428","Rayyan",1424,100,0.868766404199475
"1429","Adrian",212034,14874,0.868898408165424
"1430","Roma",521,7428,0.868914328846396
"1431","Akiva",1626,114,0.868965517241379
"1432","Andie",206,2960,0.869867340492735
"1433","Winter",448,6459,0.870276531055451
"1434","Carson",88050,6081,0.870797080664181
"1435","Rayden",2696,186,0.870922970159611
"1436","Cadence",1152,16720,0.871083258728738
"1437","Montgomery",3762,259,0.871176324297438
"1438","Alize",322,4679,0.87122575484903
"1439","Tye",4651,320,0.871253268959968
"1440","Atha",99,1441,0.871428571428571
"1441","Emani",276,4019,0.871478463329453
"1442","Bentley",28670,1951,0.872571111328827
"1443","Jamari",9643,656,0.872608991164191
"1444","Rashon",1736,118,0.872707659115426
"1445","Ashanti",756,11135,0.872845008830208
"1446","Shomari",1047,71,0.87298747763864
"1447","Obie",4002,271,0.873157032529839
"1448","Dashawn",8009,541,0.873450292397661
"1449","Regis",5079,343,0.873478421246772
"1450","Grayson",45878,3096,0.87356556540205
"1451","Ashlin",155,2297,0.873572593800979
"1452","Diamond",2138,31755,0.873838255687015
"1453","Kaya",498,7417,0.874162981680354
"1454","Dion",16954,1138,0.87419854079151
"1455","Lessie",944,14065,0.874208808048504
"1456","Rylie",963,14404,0.874666493134639
"1457","Keena",141,2109,0.874666666666667
"1458","Glyn",1383,92,0.875254237288136
"1459","Kellan",6451,429,0.875290697674419
"1460","Nikia",246,3714,0.875757575757576
"1461","Hanan",96,1456,0.876288659793814
"1462","Jerrie",345,5251,0.876697641172266
"1463","Hagen",2107,138,0.877060133630289
"1464","Brennan",29366,1918,0.877381409026979
"1465","Bryton",2500,163,0.877581674802854
"1466","Shawnta",118,1812,0.877720207253886
"1467","Dorien",1060,69,0.877767936226749
"1468","Cher",110,1692,0.877913429522752
"1469","Sander",1216,79,0.877992277992278
"1470","Conley",3372,219,0.878028404344194
"1471","Bo",8888,577,0.878077126254622
"1472","Amit",2736,177,0.878475798146241
"1473","Patsy",7713,119245,0.878495250397769
"1474","Cleon",2926,189,0.878651685393258
"1475","Genie",173,2683,0.878851540616246
"1476","Alvis",5056,326,0.878855444072835
"1477","Luka",4201,270,0.879221650637441
"1478","Caley",151,2350,0.879248300679728
"1479","Atlas",1979,127,0.879392212725546
"1480","Keshawn",5333,342,0.879471365638766
"1481","Randee",179,2802,0.879906071787991
"1482","Rashaun",2851,182,0.879986811737554
"1483","Justine",2391,37466,0.880021075344356
"1484","Tylan",2274,145,0.880115750310045
"1485","Kegan",3498,223,0.880139747379737
"1486","Maddux",1928,122,0.880975609756097
"1487","Mackenzie",7227,114255,0.881019410283005
"1488","Royal",12218,771,0.881284163522981
"1489","Richie",6383,402,0.881503316138541
"1490","Jordi",2275,143,0.881720430107527
"1491","Gaylon",3472,218,0.881842818428184
"1492","Bertie",856,13635,0.881857704782279
"1493","Kyran",2040,128,0.881918819188192
"1494","Jude",26946,1685,0.882295414061681
"1495","Tristan",98034,6122,0.882445562425592
"1496","Jann",133,2138,0.882870981946279
"1497","Kensley",188,3027,0.883048211508554
"1498","Taelyn",75,1208,0.883086515978176
"1499","Elliott",37800,2346,0.883126587953968
"1500","Whitney",5855,94394,0.883190854771619
"1501","Dempsey",3604,223,0.883459628952182
"1502","Jaylynn",443,7161,0.88348237769595
"1503","Joby",1103,68,0.883859948761742
"1504","Kiley",1092,17755,0.884119488512761
"1505","Shannan",317,5160,0.884243198831477
"1506","Etienne",1320,81,0.884368308351178
"1507","Dakari",1468,90,0.884467265725289
"1508","Chesney",116,1895,0.884634510193933
"1509","Jayde",339,5556,0.88498727735369
"1510","Lawren",59,967,0.884990253411306
"1511","Van",26642,1619,0.885425144191642
"1512","Thayer",1004,61,0.885446009389671
"1513","Wylie",4778,290,0.885556432517759
"1514","Niko",5640,342,0.885656970912738
"1515","Dia",106,1750,0.885775862068966
"1516","Nikko",2742,166,0.885832187070151
"1517","Marcel",16321,987,0.885948694245436
"1518","Tate",15085,912,0.885978620991436
"1519","Cassidy",3128,51789,0.886082633792815
"1520","Ester",891,14806,0.886475122634898
"1521","Keaton",17496,1051,0.886666307219496
"1522","Berry",5645,339,0.886697860962567
"1523","Jamieson",1300,78,0.886792452830189
"1524","Braylen",6804,408,0.886855241264559
"1525","Jalene",67,1118,0.886919831223629
"1526","Tinsley",88,1470,0.887034659820283
"1527","Sherill",61,1019,0.887037037037037
"1528","Kyler",25549,1522,0.887554948099442
"1529","Meredith",4256,71468,0.887591780677196
"1530","Jacey",407,6837,0.887631143014909
"1531","Kourtney",763,12871,0.888073932815021
"1532","Haydon",1001,59,0.888679245283019
"1533","Langston",3652,215,0.888802689423326
"1534","Akia",89,1514,0.888958203368684
"1535","Soren",5088,299,0.888992017820679
"1536","Dickie",4459,260,0.889807162534435
"1537","Brylee",400,6873,0.890004124845318
"1538","Hendrix",2062,120,0.890009165902842
"1539","Collier",1376,80,0.89010989010989
"1540","Promise",172,2962,0.890236119974473
"1541","Corrin",112,1933,0.890464547677262
"1542","Eura",84,1453,0.890696161353286
"1543","Arnett",1298,75,0.89075018208303
"1544","Karsten",2727,157,0.891123439667129
"1545","Rayven",133,2318,0.891472868217054
"1546","Tylor",7780,446,0.891563335764649
"1547","Curry",1483,85,0.891581632653061
"1548","Malak",133,2324,0.891737891737892
"1549","Amare",4439,254,0.891753675687194
"1550","Courtland",3475,198,0.892186223795263
"1551","Rochell",92,1619,0.892460549386324
"1552","Cayden",26989,1532,0.892570386732583
"1553","Markell",3887,219,0.893326838772528
"1554","Whitley",267,4745,0.893455706304868
"1555","Perri",114,2028,0.893557422969188
"1556","Laddie",1638,92,0.89364161849711
"1557","Emerald",347,6212,0.894191187681049
"1558","Sydney",9005,161292,0.894243586205277
"1559","Torrence",2976,166,0.894334818586887
"1560","Simran",133,2385,0.894360603653693
"1561","Tyree",13264,735,0.894992499464248
"1562","Telly",1481,82,0.895073576455534
"1563","Gene",126003,6971,0.89515243581452
"1564","Eliot",6174,341,0.895318495778972
"1565","Caydence",142,2575,0.895472948104527
"1566","Chauncey",9246,508,0.895837605085093
"1567","Brooks",19942,1095,0.895897704045254
"1568","Ivie",82,1496,0.896070975918885
"1569","Dayne",3565,195,0.896276595744681
"1570","Coy",15966,866,0.897100760456274
"1571","Devlin",2913,158,0.897101921198307
"1572","Jaren",4667,253,0.897154471544716
"1573","Caryl",344,6346,0.897159940209268
"1574","Makai",3676,199,0.897290322580645
"1575","Jordann",54,1000,0.897533206831119
"1576","Merlin",14418,777,0.897729516288253
"1577","Bell",130,2418,0.897959183673469
"1578","Bradyn",4040,217,0.898050270143293
"1579","Saba",69,1285,0.89807976366322
"1580","Kansas",53,989,0.898272552783109
"1581","Patton",1027,55,0.898336414048059
"1582","Jaidon",1215,65,0.8984375
"1583","Jettie",192,3592,0.898520084566596
"1584","Winslow",1427,76,0.898868928809049
"1585","Alden",13600,722,0.89917609272448
"1586","Vennie",71,1339,0.899290780141844
"1587","Canyon",2422,128,0.899607843137255
"1588","Dijon",1313,69,0.900144717800289
"1589","Emoni",97,1846,0.900154400411734
"1590","Demetrius",32961,1727,0.900426660516605
"1591","Bradlee",3010,157,0.900852541837701
"1592","Kimi",87,1671,0.901023890784983
"1593","Shaunte",88,1693,0.901179112857945
"1594","Brandin",2639,137,0.901296829971182
"1595","Kalyn",366,7053,0.901334411645774
"1596","Cory",124523,6451,0.901491899155558
"1597","Blythe",202,3902,0.901559454191033
"1598","Yamil",1238,64,0.901689708141321
"1599","Hunter",206251,10645,0.901842357627619
"1600","Jani",79,1533,0.901985111662531
"1601","Layton",7472,384,0.90224032586558
"1602","Marti",216,4206,0.902306648575305
"1603","Darnel",977,50,0.902629016553067
"1604","Darris",1915,98,0.902632886239444
"1605","Rayshawn",3505,179,0.902823018458198
"1606","Jean",23354,457547,0.90287398029948
"1607","Kyley",76,1490,0.902937420178799
"1608","Ryland",7776,396,0.903083700440529
"1609","Holley",204,4006,0.903087885985748
"1610","Davy",2437,124,0.903162827020695
"1611","Caprice",164,3225,0.903216287990558
"1612","Kyan",2597,132,0.903261267863686
"1613","Kayce",138,2722,0.903496503496503
"1614","Lenny",6984,354,0.903515944399019
"1615","Amar",3302,166,0.904267589388697
"1616","Arizona",113,2260,0.904761904761905
"1617","Wilmer",14886,743,0.904920340392859
"1618","Rolla",1306,65,0.905178701677608
"1619","Andrey",2013,100,0.905347846663512
"1620","Lindsey",7670,154631,0.905484254564051
"1621","Kamron",5696,281,0.905972896101723
"1622","Nicki",297,6022,0.905997784459566
"1623","Lachlan",2109,104,0.906009941256213
"1624","Corey",178958,8807,0.906191249700423
"1625","Sena",126,2568,0.906458797327394
"1626","Roby",2406,118,0.906497622820919
"1627","Kimber",324,6629,0.906802818927082
"1628","Christian",391869,19148,0.906826238330775
"1629","Floy",323,6611,0.906835881165273
"1630","Darcey",94,1925,0.906884596334819
"1631","Javon",15504,755,0.907128359677717
"1632","Ether",59,1214,0.907305577376277
"1633","Barrett",13933,670,0.908238033280833
"1634","Dara",577,12006,0.908288961296988
"1635","Linsey",240,5004,0.908466819221968
"1636","Cristen",126,2630,0.908563134978229
"1637","Rome",1866,89,0.908951406649616
"1638","Kaiden",25638,1219,0.909222921398518
"1639","Pearson",1053,50,0.909338168631006
"1640","Miquel",1939,92,0.909404234367307
"1641","Demetri",3332,158,0.90945558739255
"1642","Tomi",120,2535,0.909604519774011
"1643","Hallie",1335,28256,0.90976986245818
"1644","Keanu",4311,202,0.910480833148682
"1645","Kenyetta",128,2735,0.910583304226336
"1646","Jalen",34615,1618,0.910689150774156
"1647","Vaughn",19192,897,0.910697396585196
"1648","Aydin",3940,184,0.910766246362755
"1649","Donielle",91,1950,0.910828025477707
"1650","Shamar",5353,249,0.91110317743663
"1651","Ananda",71,1532,0.911416094822208
"1652","Deshaun",4994,231,0.911578947368421
"1653","Shonta",74,1604,0.911799761620977
"1654","Kayson",3340,154,0.911848883800801
"1655","Cornelious",2451,113,0.91185647425897
"1656","Carlyle",3624,167,0.911896597203904
"1657","Terrell",34504,1585,0.912161600487683
"1658","Vallie",143,3126,0.912511471397981
"1659","Imani",974,21305,0.912563400511693
"1660","Kennan",1056,48,0.91304347826087
"1661","Torin",3368,153,0.913092871343368
"1662","Dajon",1541,70,0.913097454996896
"1663","Kensington",58,1277,0.91310861423221
"1664","Jamin",3040,138,0.913152926368785
"1665","Taurus",1851,84,0.913178294573643
"1666","Savon",1456,66,0.913272010512484
"1667","Gill",1214,55,0.913317572892041
"1668","Adriane",274,6051,0.913359683794466
"1669","Talon",9175,415,0.913451511991658
"1670","Ezra",31685,1433,0.913460957787306
"1671","Avis",773,17095,0.913476606223416
"1672","Shaun",68495,3096,0.913508681258817
"1673","Rylynn",52,1156,0.913907284768212
"1674","Luca",16830,754,0.914240218380346
"1675","Hillary",1261,28163,0.914287656334965
"1676","Sharan",53,1185,0.91437802907916
"1677","Damaris",498,11137,0.914396218306833
"1678","Teddy",31816,1421,0.91449288443602
"1679","Jesiah",1907,85,0.914658634538153
"1680","Coby",8181,364,0.91480397893505
"1681","Gail",8950,201545,0.914962350649659
"1682","Kinsey",290,6549,0.915192279573037
"1683","Jacari",1537,68,0.915264797507788
"1684","Isamar",91,2065,0.915584415584416
"1685","Nixon",2705,119,0.9157223796034
"1686","Oneal",2966,130,0.916020671834625
"1687","Jonny",2989,131,0.916025641025641
"1688","Ernie",16287,713,0.916117647058823
"1689","Laurel",1854,42448,0.916301747099454
"1690","Keshon",1107,48,0.916883116883117
"1691","Dionne",419,9667,0.916914534999008
"1692","Mardell",94,2170,0.91696113074205
"1693","Miki",73,1693,0.917327293318233
"1694","Correy",1070,46,0.917562724014337
"1695","Dillan",6288,270,0.917657822506862
"1696","Erinn",143,3340,0.917886879127189
"1697","Juelz",1901,81,0.918264379414732
"1698","Jama",66,1552,0.918417799752781
"1699","Vern",11454,485,0.91875366446101
"1700","Daven",2174,92,0.918799646954987
"1701","Bonny",261,6171,0.918843283582089
"1702","Lexus",263,6235,0.919052016004925
"1703","Jami",900,21338,0.91905746919687
"1704","Wilder",1233,52,0.919066147859922
"1705","Averi",187,4463,0.919569892473118
"1706","Brantley",13447,563,0.919628836545325
"1707","Prince",13140,550,0.919649379108838
"1708","Ayaan",2893,121,0.91970802919708
"1709","Marshawn",1871,78,0.919958953309389
"1710","Mckenzie",2131,51185,0.920061519993998
"1711","Rae",888,21346,0.920122335162364
"1712","Kaeden",3666,152,0.920377160817182
"1713","Ronnie",180291,7450,0.920635343371986
"1714","Haden",3490,144,0.920748486516236
"1715","Kyren",1601,66,0.920815836832634
"1716","Denis",19616,808,0.920877399138269
"1717","Marquise",9522,392,0.920919911236635
"1718","Daylan",2056,84,0.921495327102804
"1719","Cheyenne",2630,64493,0.921636398849873
"1720","Falon",73,1801,0.922091782283885
"1721","Keonte",1358,55,0.922151450813871
"1722","Vanna",59,1458,0.922214897824654
"1723","Parnell",1409,57,0.922237380627558
"1724","Alvah",1785,72,0.922455573505654
"1725","Jermiah",2861,115,0.922715053763441
"1726","Noble",8065,324,0.922755989986888
"1727","Draven",5454,219,0.922792173453199
"1728","Brodie",8434,338,0.922936616507068
"1729","Ireland",178,4459,0.923226223851628
"1730","Dymond",71,1781,0.923326133909287
"1731","Ottis",4365,174,0.923331130204891
"1732","Aundrea",181,4541,0.923337568826768
"1733","Hennessy",39,979,0.923379174852652
"1734","Lindsay",5116,128550,0.923450989780498
"1735","Versie",103,2591,0.923533778767632
"1736","Caylin",87,2197,0.923817863397548
"1737","Shayan",1467,58,0.923934426229508
"1738","Taron",2277,90,0.923954372623574
"1739","Sasha",1297,32839,0.924009842981017
"1740","Sloane",251,6406,0.924590656451855
"1741","Randi",1131,28992,0.924907877701424
"1742","Bently",1744,68,0.924944812362031
"1743","Kay",3824,98103,0.924965906972637
"1744","Blake",162620,6330,0.925066587747854
"1745","Kyndall",169,4361,0.925386313465784
"1746","Carmine",12280,475,0.925519404155233
"1747","Trinity",2677,69270,0.925584110525804
"1748","Fallon",315,8162,0.925681255161024
"1749","Anwar",2335,90,0.925773195876289
"1750","Kaye",503,13067,0.925865880619013
"1751","Jamil",6619,254,0.926087589116834
"1752","Pearlie",695,18112,0.926091348965811
"1753","Jamell",1955,75,0.926108374384236
"1754","Lotus",60,1566,0.92619926199262
"1755","Kadin",4649,178,0.926248187279884
"1756","Danni",72,1885,0.926417986714359
"1757","Gael",15307,582,0.926741771036566
"1758","Omari",7128,271,0.926746857683471
"1759","Lesly",502,13273,0.927114337568058
"1760","Hester",537,14209,0.927166689271667
"1761","Darrion",3952,149,0.927334796391124
"1762","Rogan",1117,42,0.927523727351165
"1763","Reggie",11460,430,0.92767031118587
"1764","Shante",216,5795,0.928131758442855
"1765","Monte",21851,814,0.928171189058019
"1766","Ami",266,7141,0.928176049682732
"1767","Leone",226,6097,0.928514945437293
"1768","Cletus",7344,272,0.928571428571429
"1769","Zain",4726,174,0.928979591836735
"1770","Kerrigan",67,1833,0.929473684210526
"1771","Luz",900,24688,0.929654525558856
"1772","Benji",1290,47,0.929693343305909
"1773","Sammy",42109,1530,0.929879236462797
"1774","Maddox",21187,767,0.930126628404846
"1775","Starr",324,8957,0.930179937506734
"1776","Baylee",611,16894,0.930191373893173
"1777","Derrion",1247,45,0.930340557275542
"1778","Laney",336,9352,0.930635838150289
"1779","Kelsey",5159,143640,0.930658136143388
"1780","Vy",37,1031,0.930711610486891
"1781","Javen",2790,100,0.930795847750865
"1782","Jonie",44,1228,0.930817610062893
"1783","Justyn",4078,146,0.930871212121212
"1784","Tommye",52,1456,0.931034482758621
"1785","Taven",1318,47,0.931135531135531
"1786","Ayden",55808,1987,0.93123972661995
"1787","Davin",9425,335,0.931352459016394
"1788","Toi",53,1493,0.93143596377749
"1789","Jamel",10346,367,0.931485111546719
"1790","Deshun",1130,40,0.931623931623932
"1791","Perry",74434,2628,0.931795177908697
"1792","Jamaria",37,1048,0.931797235023041
"1793","Demetrious",1616,57,0.931858936043036
"1794","Jovanni",4442,156,0.93214441061331
"1795","Sonny",15728,551,0.932305424166104
"1796","Galen",16000,560,0.932367149758454
"1797","Sammi",50,1432,0.932523616734143
"1798","Garland",23659,826,0.932530120481928
"1799","Mina",497,14247,0.932582745523603
"1800","Winfred",10070,351,0.93263602341426
"1801","Ashlan",34,978,0.932806324110672
"1802","Shaw",1009,35,0.932950191570881
"1803","Halley",126,3634,0.932978723404255
"1804","Hayes",5683,197,0.932993197278912
"1805","Darl",1818,63,0.933014354066986
"1806","Rayvon",1766,61,0.933223864258347
"1807","Loyal",3794,131,0.933248407643312
"1808","Delaney",1091,31680,0.933416740410729
"1809","Adin",2514,86,0.933846153846154
"1810","Zakariya",1054,36,0.93394495412844
"1811","Dayton",13251,452,0.93402904473473
"1812","Rocio",426,12528,0.93422880963409
"1813","Neville",2206,75,0.93423936869794
"1814","Trace",10127,343,0.934479465138491
"1815","Nabil",1448,49,0.934535738142953
"1816","Dyan",61,1804,0.934584450402145
"1817","Jameson",20888,703,0.934880274188319
"1818","Fredie",1189,40,0.934906427990236
"1819","Ronny",14046,472,0.934977269596363
"1820","Kolbe",1104,37,0.935144609991236
"1821","Niki",229,6844,0.935246712851689
"1822","Billye",112,3360,0.935483870967742
"1823","Janai",83,2492,0.935533980582524
"1824","Jalon",2223,74,0.935568132346539
"1825","Larson",1120,37,0.936041486603284
"1826","Kale",6846,226,0.936085972850679
"1827","Blaine",30154,995,0.936113518893062
"1828","Alexandre",4395,145,0.936123348017621
"1829","Peighton",62,1884,0.936279547790339
"1830","Kody",21092,691,0.936556029931598
"1831","Dejon",2352,77,0.936599423631124
"1832","Ansley",284,8698,0.936762413716322
